,ID,label,POS tags
0,GO:0034240,negative regulation of macrophage fusion,ADJ | NOUN | ADP | NOUN | NOUN
1,GO:2000419,regulation of eosinophil extravasation,NOUN | ADP | NOUN | NOUN
2,GO:0047003,dTDP-6-deoxy-L-talose 4-dehydrogenase activity,NOUN | NOUN | NOUN
3,GO:0033535,ajugose metabolic process,ADJ | ADJ | NOUN
4,GO:0003693,P-element binding,NOUN | NOUN
5,GO:0060153,modulation by virus of host cell cycle,NOUN | ADP | NOUN | ADP | NOUN | NOUN | NOUN
6,GO:0006305,DNA alkylation,NOUN | NOUN
7,GO:0050255,ribitol 2-dehydrogenase activity,NOUN | NOUN | NOUN
8,GO:0021987,cerebral cortex development,ADJ | NOUN | NOUN
9,GO:0097407,Bunina body,PROPN | NOUN
10,GO:0032005,signal transduction involved in positive regulation of conjugation with cellular fusion,ADJ | NOUN | ADJ | ADP | ADJ | NOUN | ADP | NOUN | ADP | ADJ | NOUN
11,GO:0034107,negative regulation of erythrocyte clearance,ADJ | NOUN | ADP | NOUN | NOUN
12,GO:0097608,transverse flagellum,ADJ | NOUN
13,GO:0044834,retroviral intasome,ADJ | NOUN
14,GO:0042144,"vacuole fusion, non-autophagic",NOUN | NOUN | ADJ
15,GO:0071134,alpha9-beta1 integrin-thrombospondin-1 complex,NOUN | NOUN | NOUN
16,GO:0090329,regulation of DNA-dependent DNA replication,NOUN | ADP | ADJ | NOUN | NOUN
17,GO:0060461,right lung morphogenesis,ADJ | NOUN | NOUN
18,GO:0051571,positive regulation of histone H3-K4 methylation,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
19,GO:0052700,ergothioneine catabolic process,ADJ | ADJ | NOUN
20,GO:0042702,uterine wall growth,ADJ | NOUN | NOUN
21,GO:0016852,sirohydrochlorin cobaltochelatase activity,NOUN | NOUN | NOUN
22,GO:0045487,gibberellin catabolic process,NOUN | ADJ | NOUN
23,GO:0102593,UDP-glucose: N-methylanthranilate glucosyltransferase activity,NOUN | NOUN | NOUN | NOUN
24,GO:0071271,1-butanol biosynthetic process,NOUN | ADJ | NOUN
25,GO:1900228,regulation of single-species biofilm formation in or on host organism,NOUN | ADP | ADJ | NOUN | NOUN | ADP | CCONJ | ADP | NOUN | NOUN
26,GO:1990654,sebum secreting cell proliferation,NOUN | VERB | NOUN | NOUN
27,GO:0032282,plastid acetyl-CoA carboxylase complex,NOUN | NOUN | NOUN | NOUN
28,GO:0140404,effector-mediated modulation of host innate immune response by symbiont,NOUN | NOUN | ADP | NOUN | ADJ | ADJ | NOUN | ADP | NOUN
29,GO:0044567,primary cell wall cellulose synthase complex,ADJ | NOUN | NOUN | NOUN | NOUN | NOUN
30,GO:0004077,biotin-[acetyl-CoA-carboxylase] ligase activity,NOUN | NOUN | NOUN
31,GO:0006793,phosphorus metabolic process,NOUN | ADJ | NOUN
32,GO:1905181,regulation of urease activity,NOUN | ADP | ADJ | NOUN
33,GO:0009454,aerotaxis,NOUN
34,GO:0010548,regulation of thylakoid membrane disassembly,NOUN | ADP | NOUN | NOUN | NOUN
35,GO:0032722,positive regulation of chemokine production,ADJ | NOUN | ADP | NOUN | NOUN
36,GO:0140105,interleukin-10-mediated signaling pathway,NOUN | NOUN | NOUN
37,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,ADJ | NOUN | ADJ | NOUN
38,GO:0009958,positive gravitropism,ADJ | NOUN
